"Country","ISOCode","State","Abbreviation","City","ZipCode"
"Canada","CA","Saskatchewan","SK","Shaunavon","S0N 2M0"
"Canada","CA","Saskatchewan","SK","Leader","S0N 1H0"
"Canada","CA","Saskatchewan","SK","Gull Lake","S0N 1A0"
"Canada","CA","Saskatchewan","SK","Swift Current","S9H 1A1"
"Canada","CA","Saskatchewan","SK","North Battleford","S9A 1A1"
"Canada","CA","Saskatchewan","SK","Estevan","S4A 1A1"
"Canada","CA","Saskatchewan","SK","Weyburn","S4H 1A1"
"Canada","CA","Saskatchewan","SK","Lloydminster","S9V 1A1"
"Canada","CA","Saskatchewan","SK","Warman","S0K 4S0"
"Canada","CA","Saskatchewan","SK","Martensville","S0K 2T0"
"Canada","CA","Saskatchewan","SK","Meadow Lake","S9X 1A1"
"Canada","CA","Saskatchewan","SK","Melville","S0A 2P0"
"Canada","CA","Saskatchewan","SK","Humboldt","S0K 2A0"
"Canada","CA","Saskatchewan","SK","Kindersley","S0L 1S0"
"Canada","CA","Saskatchewan","SK","Tisdale","S0E 1T0"
"Canada","CA","Saskatchewan","SK","Nipawin","S0E 1P0"
"Canada","CA","Saskatchewan","SK","Melfort","S0E 1A0"
"Canada","CA","Saskatchewan","SK","Assiniboia","S0H 0B0"
"Canada","CA","Saskatchewan","SK","Maple Creek","S0N 1N0"
"Canada","CA","Saskatchewan","SK","Shaunavon","S0N 2M0"
"Canada","CA","Saskatchewan","SK","Leader","S0N 1H0"
"Canada","CA","Saskatchewan","SK","Gull Lake","S0N 1A0"
"Canada","CA","Yukon","YT","Whitehorse","Y1A 1A1"
"Canada","CA","Yukon","YT","Dawson City","Y0B 1G0"
"Canada","CA","Yukon","YT","Watson Lake","Y0A 1C0"
"Canada","CA","Yukon","YT","Haines Junction","Y0B 1L0"
"Canada","CA","Yukon","YT","Carmacks","Y0B 1C0"
"Canada","CA","Yukon","YT","Faro","Y0B 1K0"
"Canada","CA","Yukon","YT","Mayo","Y0B 1M0"
"Canada","CA","Yukon","YT","Ross River","Y0B 1S0"
"Canada","CA","Yukon","YT","Teslin","Y0B 1B0"
"Canada","CA","Yukon","YT","Old Crow","Y0B 1N0"
"Canada","CA","Yukon","YT","Beaver Creek","Y0B 1A0"
"Canada","CA","Yukon","YT","Burwash Landing","Y0B 1V0"
"Canada","CA","Yukon","YT","Carcross","Y0B 1B0"
"Canada","CA","Yukon","YT","Destruction Bay","Y0B 1H0"
"Canada","CA","Yukon","YT","Elsa","Y0B 1J0"
"Canada","CA","Yukon","YT","Haines Junction","Y0B 1L0"
"Canada","CA","Yukon","YT","Marsh Lake","Y0B 1Y0"
"Canada","CA","Yukon","YT","Pelly Crossing","Y0B 1P0"
"Canada","CA","Yukon","YT","Ross River","Y0B 1S0"
"Canada","CA","Yukon","YT","Snag","Y0B 1T0"
"Canada","CA","Yukon","YT","Tagish","Y0B 1T0"
"Canada","CA","Yukon","YT","Teslin","Y0B 1B0"
"Canada","CA","Yukon","YT","Upper Liard","Y0B 1W0"
"Canada","CA","Yukon","YT","Whitehorse","Y1A 1A1"
